,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8658,1.8,2.09,challenger,challenger,0.5420629164755824,0.4579370835244176
8659,2.87,1.465,challenger,favori,0.4124683612845955,0.5875316387154045
8660,1.676,2.32,favori,challenger,0.6418711798742215,0.3581288201257785
8661,1.714,2.2,challenger,favori,0.38989390198308893,0.6101060980169111
8663,2.5,1.595,challenger,challenger,0.5677280424243257,0.43227195757567427
8664,1.676,2.32,favori,favori,0.2412995032251446,0.7587004967748554
8667,1.444,2.9,favori,favori,0.29790552178051377,0.7020944782194862
8668,1.645,2.39,favori,favori,0.13421733584215922,0.8657826641578408
8669,1.6130000000000002,2.47,challenger,favori,0.46176988637257566,0.5382301136274243
8670,1.37,3.35,favori,challenger,0.5393140358085184,0.4606859641914815
8671,1.245,4.38,challenger,favori,0.11095582947200355,0.8890441705279964
8674,1.202,5.25,favori,challenger,0.7043197326339572,0.2956802673660428
8675,1.408,3.15,favori,favori,0.2809493619615563,0.7190506380384437
8676,1.2990000000000002,3.9,favori,favori,0.3611882208089613,0.6388117791910387
8677,1.8,2.09,challenger,favori,0.43948691837781506,0.5605130816221849
8678,1.465,2.9,challenger,favori,0.4308081951091921,0.5691918048908079
8679,1.253,4.45,favori,favori,0.49746615884515466,0.5025338411548453
8680,2.95,1.444,challenger,favori,0.3927189571189128,0.6072810428810872
8682,1.057,14.5,favori,favori,0.3808847400118135,0.6191152599881865
8683,1.121,7.5,favori,favori,0.14335964694455672,0.8566403530554433
8684,1.225,4.6,favori,favori,0.287906906709401,0.712093093290599
8685,1.4,3.2,favori,favori,0.43415990574930186,0.5658400942506981
8686,1.4880000000000002,2.8,challenger,favori,0.08902059433873422,0.9109794056612658
8687,1.69,2.29,challenger,favori,0.05481294278968496,0.945187057210315
8688,2.7,1.5319999999999998,favori,favori,0.2071917788773513,0.7928082211226487
8689,1.571,2.55,challenger,favori,0.2636177469363228,0.7363822530636772
8690,1.351,3.45,favori,favori,0.3906751617302362,0.6093248382697638
8692,1.03,24.11,favori,favori,0.26622972811273604,0.733770271887264
8693,2.38,1.641,challenger,favori,0.4203219005489184,0.5796780994510816
8694,2.75,1.513,challenger,favori,0.3619217780934525,0.6380782219065475
8695,1.629,2.41,favori,favori,0.3136114149835526,0.6863885850164474
8696,1.641,2.4,challenger,favori,0.39821213636111097,0.601787863638889
8697,1.345,3.5,favori,favori,0.23292911360012358,0.7670708863998764
8699,1.641,2.4,challenger,favori,0.1867301672191065,0.8132698327808935
8700,1.5,2.78,challenger,challenger,0.5735862513114163,0.4264137486885838
8701,1.971,1.885,challenger,favori,0.14901065113010192,0.8509893488698981
8702,1.84,2.03,challenger,favori,0.1658636831587188,0.8341363168412812
8703,1.541,2.65,challenger,favori,0.21772346147041943,0.7822765385295806
8704,1.457,2.89,challenger,favori,0.3645605199332653,0.6354394800667347
8705,1.091,9.26,favori,favori,0.2199660508669934,0.7800339491330066
8706,1.041,18.13,favori,favori,0.42902857747088385,0.5709714225291161
8707,1.129,7.0,favori,favori,0.35854646118326106,0.6414535388167389
8708,1.543,2.64,favori,favori,0.40455736918755225,0.5954426308124477
8709,1.813,2.07,challenger,favori,0.3113779110177013,0.6886220889822987
8710,1.847,2.02,challenger,favori,0.1770631715367902,0.8229368284632098
8711,1.606,2.47,favori,favori,0.2954669702620766,0.7045330297379234
8712,2.07,1.813,favori,favori,0.16584805750705123,0.8341519424929488
8713,1.053,16.3,favori,favori,0.40164385358247323,0.5983561464175268
8714,1.4169999999999998,3.1,favori,favori,0.3333776378553148,0.6666223621446852
8715,1.1,8.98,favori,favori,0.23407535974770843,0.7659246402522916
8716,1.16,5.75,favori,favori,0.09436536224806036,0.9056346377519396
8717,1.571,2.57,challenger,favori,0.13901359566871707,0.8609864043312829
8718,1.73,2.19,challenger,favori,0.37965035643955314,0.6203496435604469
8719,1.588,2.54,favori,favori,0.22244167343589627,0.7775583265641037
8720,1.244,4.5,favori,favori,0.27679359206114107,0.7232064079388589
8721,2.77,1.508,favori,favori,0.1846189799555492,0.8153810200444508
8722,1.197,5.28,challenger,favori,0.32838651975033695,0.671613480249663
8723,1.704,2.24,challenger,favori,0.34200431948836685,0.6579956805116332
8724,1.943,1.909,challenger,favori,0.13259049270740664,0.8674095072925934
8725,1.877,1.98,favori,favori,0.34870089359340417,0.6512991064065958
8727,1.351,3.45,favori,favori,0.15545436532860035,0.8445456346713996
8728,1.233,4.6,favori,favori,0.23047471846804513,0.7695252815319549
8729,2.72,1.521,challenger,favori,0.26590432779487294,0.7340956722051271
8731,1.22,4.8,favori,favori,0.43657894272362074,0.5634210572763793
8732,2.59,1.565,challenger,favori,0.3815544812372156,0.6184455187627844
8733,1.901,1.952,challenger,favori,0.3143349671344705,0.6856650328655295
8734,1.676,2.3,favori,favori,0.19321123519608352,0.8067887648039165
8735,1.855,2.01,challenger,favori,0.3197157558986552,0.6802842441013448
8736,1.4,3.15,favori,favori,0.09367569812581922,0.9063243018741808
8738,1.444,3.0,favori,favori,0.12495594444412761,0.8750440555558724
8739,1.714,2.22,favori,favori,0.4489224914153719,0.5510775085846281
8741,2.48,1.595,favori,favori,0.07121117140846711,0.9287888285915329
8742,1.82,2.06,favori,favori,0.15216070449262553,0.8478392955073745
8743,1.204,5.1,challenger,favori,0.19491024293626946,0.8050897570637305
8744,1.29,3.95,favori,favori,0.18857538002571783,0.8114246199742822
8747,1.1740000000000002,5.5,favori,favori,0.4823455907272345,0.5176544092727655
8748,1.901,1.952,challenger,favori,0.18625644337455993,0.8137435566254401
8750,1.07,11.81,favori,favori,0.3497221029830778,0.6502778970169222
8751,2.04,1.833,favori,favori,0.23881710785060684,0.7611828921493932
8752,1.148,6.0,favori,favori,0.4100138840843871,0.5899861159156129
8754,1.595,2.48,favori,favori,0.212764599138065,0.787235400861935
8755,1.238,4.55,challenger,favori,0.11413619623157656,0.8858638037684234
8758,1.426,3.05,favori,favori,0.3980005760070465,0.6019994239929535
8760,1.364,3.3,favori,favori,0.392879364915511,0.607120635084489
8761,1.87,1.99,favori,favori,0.22299305677571668,0.7770069432242833
8762,1.136,6.6,favori,favori,0.1851010183829931,0.8148989816170069
8764,1.535,2.67,favori,favori,0.1890781426584902,0.8109218573415098
8765,2.7,1.526,challenger,favori,0.22732826793320193,0.7726717320667981
8766,1.599,2.47,favori,favori,0.34760769601777897,0.652392303982221
8767,1.571,2.57,favori,favori,0.3018477084079284,0.6981522915920716
8768,1.163,5.65,favori,favori,0.17507670383635654,0.8249232961636435
8769,1.16,5.75,favori,favori,0.22748182135692674,0.7725181786430733
8770,1.3,3.83,challenger,favori,0.3593910768438602,0.6406089231561398
8771,1.339,3.5,challenger,favori,0.3664849876372679,0.6335150123627321
8772,1.671,2.31,challenger,favori,0.08272956608350746,0.9172704339164925
8774,1.233,4.65,favori,favori,0.3107812304101958,0.6892187695898042
8775,2.34,1.658,challenger,favori,0.352393772266247,0.647606227733753
8776,1.435,3.0,favori,favori,0.17561921588491392,0.8243807841150861
8777,1.126,7.21,favori,favori,0.41887586454719083,0.5811241354528092
8778,1.287,3.94,favori,favori,0.429155400628484,0.570844599371516
8779,1.216,4.99,favori,favori,0.2626926886487342,0.7373073113512658
8780,1.508,2.72,favori,favori,0.3156595944969115,0.6843404055030885
8781,1.347,3.43,challenger,favori,0.0811883464038321,0.9188116535961679
8782,1.826,2.05,favori,favori,0.16995803537926368,0.8300419646207363
8783,1.513,2.72,challenger,favori,0.28266986235723535,0.7173301376427647
8784,1.102,8.3,favori,favori,0.22358540858297793,0.7764145914170221
8785,1.161,5.45,favori,favori,0.42226922271255585,0.5777307772874442
8786,1.219,4.91,favori,favori,0.21201174639190945,0.7879882536080905
8787,1.588,2.5,challenger,favori,0.3237114654024925,0.6762885345975075
8788,1.19,5.0,favori,favori,0.19004185504965132,0.8099581449503487
8789,2.15,1.763,favori,favori,0.2072805524689687,0.7927194475310313
8790,1.82,2.06,challenger,favori,0.2959244099778393,0.7040755900221607
8791,1.286,3.95,favori,favori,0.2831932018632747,0.7168067981367253
8792,1.355,3.37,favori,favori,0.09866371188997436,0.9013362881100256
8793,1.917,1.917,favori,favori,0.11980651972821288,0.8801934802717871
8794,3.35,1.364,challenger,favori,0.3462530441473396,0.6537469558526604
8795,1.385,3.25,challenger,challenger,0.6306397625029458,0.3693602374970542
8796,1.091,9.0,favori,favori,0.3464894775973528,0.6535105224026472
8797,1.5319999999999998,2.68,favori,favori,0.4542600635070443,0.5457399364929557
8798,1.058,14.3,favori,favori,0.2971645373342795,0.7028354626657205
