,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
271,9.26,1.091,favori,favori,0.14650560300188675,0.8534943969981132
272,18.13,1.041,favori,favori,0.15056967924493858,0.8494303207550614
273,7.0,1.129,favori,favori,0.13624098555665498,0.863759014443345
274,2.64,1.543,favori,favori,0.23869473194610247,0.7613052680538975
275,2.07,1.813,challenger,favori,0.4109018612772526,0.5890981387227474
276,2.02,1.847,challenger,favori,0.3194025795555713,0.6805974204444287
277,2.47,1.606,favori,favori,0.21215000751785262,0.7878499924821474
278,1.813,2.07,favori,challenger,0.5261504981044609,0.4738495018955391
279,16.3,1.053,favori,favori,0.17870613174025685,0.8212938682597432
280,3.1,1.4169999999999998,favori,favori,0.4370432485978679,0.5629567514021321
281,8.98,1.1,favori,favori,0.22097974248043917,0.7790202575195608
282,5.75,1.16,favori,favori,0.20581182927626795,0.794188170723732
283,2.57,1.571,challenger,favori,0.47871618989028564,0.5212838101097144
284,2.19,1.73,challenger,challenger,0.5421459492185008,0.45785405078149927
285,2.54,1.588,favori,favori,0.4241018067630403,0.5758981932369597
286,4.5,1.244,favori,favori,0.3525739627910761,0.6474260372089239
287,1.508,2.77,favori,challenger,0.6411222403191006,0.35887775968089947
288,5.28,1.197,challenger,favori,0.39673195411205286,0.6032680458879471
289,2.24,1.704,challenger,favori,0.4500330694945287,0.5499669305054713
290,1.909,1.943,challenger,favori,0.48304125645830875,0.5169587435416912
291,1.98,1.877,favori,challenger,0.5578668737825307,0.4421331262174693
292,3.45,1.351,favori,favori,0.10779482859469247,0.8922051714053075
293,4.6,1.233,favori,favori,0.2628273002972714,0.7371726997027286
294,1.521,2.72,challenger,challenger,0.5433282081521654,0.4566717918478346
295,4.8,1.22,favori,favori,0.20769100894414472,0.7923089910558553
296,1.565,2.59,challenger,favori,0.44705707007737583,0.5529429299226242
297,1.952,1.901,challenger,favori,0.2662888798403408,0.7337111201596592
298,2.3,1.676,favori,challenger,0.5661220860647183,0.4338779139352817
299,2.01,1.855,challenger,challenger,0.5794005808534457,0.42059941914655424
300,3.15,1.4,favori,favori,0.40499355092578915,0.5950064490742109
301,3.0,1.444,favori,favori,0.487507558626747,0.512492441373253
302,2.22,1.714,favori,favori,0.4538961398465967,0.5461038601534033
303,1.595,2.48,favori,favori,0.37378887786528414,0.6262111221347159
304,2.06,1.82,favori,favori,0.47800523263333383,0.5219947673666662
305,5.1,1.204,challenger,favori,0.28139021361049255,0.7186097863895075
306,3.95,1.29,favori,favori,0.28468639792631756,0.7153136020736824
307,5.5,1.1740000000000002,favori,favori,0.3066729568447969,0.6933270431552031
308,1.952,1.901,challenger,challenger,0.5666599573850983,0.4333400426149016
309,11.81,1.07,favori,favori,0.24976430043169973,0.7502356995683003
310,1.833,2.04,favori,favori,0.49663267628435404,0.503367323715646
311,6.0,1.148,favori,favori,0.38705335614822467,0.6129466438517753
312,2.48,1.595,favori,favori,0.33833844817940095,0.661661551820599
313,4.55,1.238,challenger,favori,0.22307082331574102,0.776929176684259
314,3.05,1.426,favori,challenger,0.5801105525113202,0.4198894474886798
315,3.3,1.364,favori,favori,0.3442347333278373,0.6557652666721627
316,1.99,1.87,favori,favori,0.3743312124071184,0.6256687875928816
317,6.6,1.136,favori,favori,0.24583161149133714,0.7541683885086629
318,2.67,1.535,favori,favori,0.333318456636128,0.666681543363872
319,1.526,2.7,challenger,challenger,0.6069731833007752,0.39302681669922473
320,2.47,1.599,favori,favori,0.44924574636794123,0.5507542536320588
321,2.57,1.571,favori,favori,0.344977056639757,0.655022943360243
322,5.65,1.163,favori,favori,0.21191738418924366,0.7880826158107563
323,5.75,1.16,favori,favori,0.1639389972264037,0.8360610027735963
324,3.83,1.3,challenger,favori,0.21841138134768234,0.7815886186523177
325,3.5,1.339,challenger,favori,0.342700954461192,0.657299045538808
326,2.31,1.671,challenger,favori,0.299976422935319,0.700023577064681
327,4.65,1.233,favori,favori,0.20496316104846168,0.7950368389515383
328,1.658,2.34,challenger,challenger,0.5697460006806664,0.4302539993193336
329,3.0,1.435,favori,favori,0.37725350651947265,0.6227464934805274
330,7.21,1.126,favori,favori,0.20661037205405242,0.7933896279459476
331,3.94,1.287,favori,favori,0.2809939609974482,0.7190060390025518
332,4.99,1.216,favori,favori,0.1364241114008824,0.8635758885991176
